Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
1990,Bust A Move,Young M.C.,39,hip-hop,hip hop / rap
1990,Me So Horny,The 2 Live Crew,30,rap,hip hop / rap
1990,No More Lies,Michel'le,29,rnb,r&b / soul
1990,Back To Life,Soul II Soul,28,soul,r&b / soul
1990,Close To You,Maxi Priest,27,reggae,reggae
1990,Here And Now,Luther Vandross,27,soul,r&b / soul
1990,Love Shack,The B-52s,27,new wave,rock
1990,Love Song,Tesla,27,hard rock,rock
1990,Sending All My Love,Linear,27,freestyle,rock
1990,(Can't Live Without Your) Love And Affection,Nelson,26,hard rock,rock
1990,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),26,pop,pop
1990,If You Leave Me Now,Jaya,26,pop,pop
1990,(It's Just) The Way That You Love Me,Paula Abdul,25,pop,pop
1990,Hold On,En Vogue,25,rnb,r&b / soul
1990,Hold On,Wilson Phillips,25,pop,pop
1990,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,25,pop,pop
1990,Tic-Tac-Toe,Kyper,25,rap,hip hop / rap
1990,Black Velvet,Alannah Myles,24,rock,rock
1990,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,24,rock,rock
1990,Don't Shut Me Out,Kevin Paige,24,pop,pop
1990,Enjoy The Silence,Depeche Mode,24,electronic,dance / electronic
1990,"King Of Wishful Thinking (From ""Pretty Woman"")",Go West,24,pop,pop
1990,Mentirosa,Mellow Man Ace,24,rap,hip hop / rap
1990,Pump Up The Jam,Technotronic Featuring Felly,24,dance,dance / electronic
1990,Vogue,Madonna,24,pop,pop
1990,Blame It On The Rain,Milli Vanilli,23,pop,pop
1990,Can't Stop,After 7,23,rnb,r&b / soul
1990,Don't Close Your Eyes,Kix,23,hard rock,rock
1990,Don't Make Me Over,Sybil,23,pop,pop
1990,Everything,Jody Watley,23,soul,r&b / soul
1990,How Am I Supposed To Live Without You,Michael Bolton,23,pop,pop
1990,I Wanna Be Rich,Calloway,23,urban,r&b / soul
1990,I Want You,Shana,23,freestyle,pop
1990,Oh Girl,Paul Young,23,pop,pop
1990,Rub You The Right Way,Johnny Gill,23,rnb,r&b / soul
1990,The Humpty Dance,Digital Underground,23,hip-hop,hip hop / rap
1990,Two To Make It Right,Seduction,23,hardcore,pop
1990,All Around The World,Lisa Stansfield,22,pop,pop
1990,Do Me!,Bell Biv DeVoe,22,rnb,r&b / soul
1990,Fool For Your Loving,Whitesnake,22,hard rock,rock
1990,I Don't Have The Heart,James Ingram,22,soul,r&b / soul
1990,Just A Friend,Biz Markie,22,hip-hop,hip hop / rap
1990,Listen To Your Heart,Roxette,22,pop,pop
1990,Poison,Bell Biv DeVoe,22,new jack swing,hip hop / rap
1990,Release Me,Wilson Phillips,22,pop,pop
1990,Something Happened On The Way To Heaven,Phil Collins,22,pop,pop
1990,The Ballad Of Jayne,L.A. Guns,22,hard rock,rock
1990,The Power,Snap!,22,dance,dance / electronic
1990,Vision Of Love,Mariah Carey,22,pop,pop
1990,When I See You Smile,Bad English,22,hard rock,rock
1990,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,21,rock,rock
1990,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,21,house,dance / electronic
1990,Dangerous,Roxette,21,pop,pop
1990,Don't Wanna Fall In Love,Jane Child,21,pop,pop
1990,Epic,Faith No More,21,alternative rock,rock
1990,Expression,Salt-N-Pepa,21,hip-hop,hip hop / rap
1990,Free Fallin',Tom Petty,21,classic rock,rock
1990,Girls Nite Out,Tyler Collins,21,pop,pop
1990,Here We Are,Gloria Estefan,21,latin,latin
1990,House Of Pain,Faster Pussycat,21,hard rock,rock
1990,Just Between You And Me,Lou Gramm,21,rock,rock
1990,Make You Sweat,Keith Sweat,21,rnb,r&b / soul
1990,Nothing Compares 2 U,Sinead O'Connor,21,alternative,rock
1990,Ready Or Not,After 7,21,rnb,r&b / soul
1990,Rock Wit'cha,Bobby Brown,21,rnb,r&b / soul
1990,The Angel Song,Great White,21,hard rock,rock
1990,The Heart Of The Matter,Don Henley,21,classic rock,rock
1990,Was It Nothing At All,Michael Damian,21,pop,pop
1990,A Girl Like You,The Smithereens,20,power pop,pop
1990,All I Wanna Do Is Make Love To You,Heart,20,classic rock,rock
1990,Get Up! (Before The Night Is Over),Technotronic,20,dance,dance / electronic
1990,Giving You The Benefit,Pebbles,20,rnb,r&b / soul
1990,Have You Seen Her,M.C. Hammer,20,hip-hop,hip hop / rap
1990,I Remember You,Skid Row,20,hard rock,rock
1990,I'll See You In My Dreams,Giant,20,hard rock,rock
1990,If Wishes Came True,Sweet Sensation,20,freestyle,pop
1990,Joey,Concrete Blonde,20,alternative rock,rock
1990,Love Will Lead You Back,Taylor Dayne,20,pop,pop
1990,Miss You Much,Janet Jackson,20,pop,pop
1990,Personal Jesus,Depeche Mode,20,electronic,dance / electronic
1990,Roam,The B-52s,20,new wave,rock
1990,Swing The Mood,Jive Bunny & The Mastermixers,20,rock and roll,rock
1990,When The Night Comes,Joe Cocker,20,classic rock,rock
1990,"Whole Wide World (From ""True Love"")",A'me Lorain,20,pop,pop
1990,Didn't I (Blow Your Mind),New Kids on the Block,19,pop,pop
1990,Dirty Cash (Money Talks),The Adventures Of Stevie V,19,house,dance / electronic
1990,Do You Remember?,Phil Collins,19,pop,pop
1990,Everybody Everybody,Black Box,19,dance,dance / electronic
1990,Living In Sin,Bon Jovi,19,rock,rock
1990,Poison,Alice Cooper,19,hard rock,rock
1990,Price Of Love,Bad English,19,hard rock,rock
1990,Unchained Melody,The Righteous Brothers,19,soul,r&b / soul
1990,Unskinny Bop,Poison,19,hard rock,rock
1990,We Can't Go Wrong,The Cover Girls,19,freestyle,pop
1990,We Didn't Start The Fire,Billy Joel,19,rock,rock
1990,When I'm Back On My Feet Again,Michael Bolton,19,pop,pop
1990,"""Baby, It's Tonight""",Jude Cole,18,rock,rock
1990,Another Day In Paradise,Phil Collins,18,pop,pop
1990,Could This Be Love,Seduction,18,hardcore,pop
1990,Cover Girl,New Kids on the Block,18,pop,pop
1990,Downtown Train,Rod Stewart,18,classic rock,rock
1990,Feels Good,Tony! Toni! Tone!,18,soul,r&b / soul
1990,Fly To the Angels,Slaughter,18,thrash metal,rock
1990,Heat Of The Moment,After 7,18,rnb,r&b / soul
1990,How Can We Be Lovers,Michael Bolton,18,pop,pop
1990,I'll Be Your Everything,Tommy Page,18,pop,pop
1990,I'll Be Your Shelter,Taylor Dayne,18,pop,pop
1990,Janie's Got A Gun,Aerosmith,18,hard rock,rock
1990,Just Like Jesse James,Cher,18,pop,pop
1990,Knockin' Boots,Candyman,18,rap,hip hop / rap
1990,La Raza,Kid Frost,18,rap,hip hop / rap
1990,Leave A Light On,Belinda Carlisle,18,pop,pop
1990,Romeo,Dino,18,house,dance / electronic
1990,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown,18,pop,pop
1990,Talk To Myself,Christopher Williams,18,rnb,r&b / soul
1990,The Last Worthless Evening,Don Henley,18,classic rock,rock
1990,What Kind Of Man Would I Be?,Chicago,18,classic rock,rock
1990,Whip Appeal,Babyface,18,rnb,r&b / soul
1990,With Every Beat Of My Heart,Taylor Dayne,18,pop,pop
1990,Angelia,Richard Marx,17,pop,pop
1990,Bad Of The Heart,George Lamond,17,freestyle,dance / electronic
1990,Cherry Pie,Warrant,17,hair metal,rock
1990,Come Back To Me,Janet Jackson,17,pop,pop
1990,Escapade,Janet Jackson,17,pop,pop
1990,Forever,Kiss,17,hard rock,rock
1990,Get On Your Feet,Gloria Estefan,17,latin,latin
1990,Hippychick,Soho,17,dance,dance / electronic
1990,I Melt With You,Modern English,17,post-punk,rock
1990,I Wish It Would Rain Down,Phil Collins,17,pop,pop
1990,Ice Ice Baby,Vanilla Ice,17,rap,hip hop / rap
1990,More Than Words Can Say,Alias,17,hip-hop,hip hop / rap
1990,Possession,Bad English,17,hard rock,rock
1990,Rhythm Nation,Janet Jackson,17,pop,pop
1990,Sacrifice,Elton John,17,pop,pop
1990,Sometimes She Cries,Warrant,17,hard rock,rock
1990,Tender Lover,Babyface,17,rnb,r&b / soul
1990,U Can't Touch This,M.C. Hammer,17,hip-hop,hip hop / rap
1990,What It Takes,Aerosmith,17,hard rock,rock
1990,Without You,Motley Crue,17,hard rock,rock
