Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2010,Need You Now,Lady Antebellum,60,country,country
2010,Use Somebody,Kings of Leon,57,rock,rock
2010,I Gotta Feeling,The Black Eyed Peas,56,pop,pop
2010,"""Hey, Soul Sister""",Train,54,rock,rock
2010,You Belong With Me,Taylor Swift,50,country,country
2010,Haven't Met You Yet,Michael Buble,44,jazz,jazz
2010,Breakeven,The Script,43,rock,rock
2010,Down,Jay Sean Featuring Lil Wayne,40,pop,pop
2010,Sexy Chick,David Guetta Featuring Akon,40,house,dance / electronic
2010,TiK ToK,Ke$ha,38,pop,pop
2010,All The Right Moves,OneRepublic,34,pop rock,rock
2010,Bad Romance,Lady Gaga,34,pop,pop
2010,In My Head,Jason Derulo,34,rnb,r&b / soul
2010,Replay,Iyaz,34,pop,pop
2010,Smile,Uncle Kracker,33,rock,rock
2010,Telephone,Lady Gaga Featuring Beyonce,33,pop,pop
2010,I Like It,Enrique Iglesias Featuring Pitbull,32,pop,pop
2010,Whatcha Say,Jason Derulo,32,rnb,r&b / soul
2010,Already Gone,Kelly Clarkson,31,pop,pop
2010,Fallin' For You,Colbie Caillat,31,pop,pop
2010,Fireflies,Owl City,31,electronic,dance / electronic
2010,Airplanes,B.o.B Featuring Hayley Williams,30,hip-hop,hip hop / rap
2010,Empire State Of Mind,Jay-Z + Alicia Keys,30,rap,hip hop / rap
2010,OMG,Usher Featuring will.i.am,30,rnb,r&b / soul
2010,Whataya Want From Me,Adam Lambert,30,pop,pop
2010,Animal,Neon Trees,29,poptron,rock
2010,Break Your Heart,Taio Cruz Featuring Ludacris,29,taio cruz,dance / electronic
2010,Cooler Than Me,Mike Posner,29,hip-hop,hip hop / rap
2010,Dynamite,Taio Cruz,29,dance,dance / electronic
2010,Live Like We're Dying,Kris Allen,29,american idol,folk / acoustic
2010,Say Aah,Trey Songz Featuring Fabolous,29,rnb,r&b / soul
2010,Sweet Dreams,Beyonce,29,pop,pop
2010,Nothin' On You,B.o.B Featuring Bruno Mars,28,hip-hop,hip hop / rap
2010,Party In The U.S.A.,Miley Cyrus,28,pop,pop
2010,Ridin' Solo,Jason Derulo,28,rnb,r&b / soul
2010,Your Love Is My Drug,Ke$ha,28,pop,pop
2010,Billionaire,Travie McCoy Featuring Bruno Mars,27,hip-hop,hip hop / rap
2010,Bulletproof,La Roux,27,electropop,pop
2010,California Gurls,Katy Perry Featuring Snoop Dogg,27,pop,pop
2010,Imma Be,The Black Eyed Peas,27,hip-hop,hip hop / rap
2010,Paparazzi,Lady Gaga,27,pop,pop
2010,Carry Out,Timbaland Featuring Justin Timberlake,26,hip-hop,hip hop / rap
2010,Evacuate The Dancefloor,Cascada,26,dance,dance / electronic
2010,Love The Way You Lie,Eminem Featuring Rihanna,26,955 wkqi,hip hop / rap
2010,Secrets,OneRepublic,26,alternative rock,rock
2010,Tie Me Down,New Boyz Featuring Ray J,26,hip-hop,hip hop / rap
2010,BedRock,Young Money Featuring Lloyd,25,hip-hop,hip hop / rap
2010,Club Can't Handle Me,Flo Rida Featuring David Guetta,25,hip-hop,hip hop / rap
2010,Deuces,Chris Brown Featuring Tyga & Kevin McCall,25,rnb,r&b / soul
2010,Not Afraid,Eminem,25,rap,hip hop / rap
2010,One Time,Justin Bieber,25,justin bieber,pop
2010,There Goes My Baby,Usher,25,rnb,r&b / soul
2010,If I Die Young,The Band Perry,24,country,country
2010,Meet Me Halfway,The Black Eyed Peas,24,pop,pop
2010,Alejandro,Lady Gaga,23,pop,pop
2010,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,23,rnb,r&b / soul
2010,Just The Way You Are,Bruno Mars,22,pop,pop
2010,King Of Anything,Sara Bareilles,22,pop,pop
2010,Rude Boy,Rihanna,22,pop,pop
2010,Someday,Rob Thomas,22,pop,pop
2010,Teenage Dream,Katy Perry,22,pop,pop
2010,According To You,Orianthi,21,rock,rock
2010,Farmer's Daughter,Rodney Atkins,21,country,country
2010,Fifteen,Taylor Swift,21,country,country
2010,Find Your Love,Drake,21,955 wkqi,r&b / soul
2010,Hey Daddy (Daddy's Home),Usher Featuring Plies,21,usher,r&b / soul
2010,How Low,Ludacris,21,hip-hop,hip hop / rap
2010,Naturally,Selena Gomez & The Scene,21,pop,pop
2010,Stuck Like Glue,Sugarland,21,country,country
2010,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,21,pop punk,rock
2010,"""Lover, Lover""",Jerrod Niemann,20,country,country
2010,3,Britney Spears,20,pop,pop
2010,A Little More Country Than That,Easton Corbin,20,country,country
2010,American Honey,Lady Antebellum,20,country,country
2010,Baby,Justin Bieber Featuring Ludacris,20,pop,pop
2010,Blah Blah Blah,Ke$ha Featuring 3OH!3,20,pop,pop
2010,Break,Three Days Grace,20,alternative rock,rock
2010,Come Back Song,Darius Rucker,20,country,country
2010,Cowboy Casanova,Carrie Underwood,20,country,country
2010,Do I,Luke Bryan,20,country,country
2010,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,20,rnb,r&b / soul
2010,Drop The World,Lil Wayne Featuring Eminem,20,hip-hop,hip hop / rap
2010,Fancy,Drake Featuring T.I. & Swizz Beatz,20,2010,hip hop / rap
2010,Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO,20,house,dance / electronic
2010,Gettin' You Home,Chris Young,20,country,country
2010,Gimmie That Girl,Joe Nichols,20,country,country
2010,Got Your Back,T.I. Featuring Keri Hilson,20,hip-hop,hip hop / rap
2010,Half Of My Heart,John Mayer,20,singer-songwriter,folk / acoustic
2010,Halfway Gone,Lifehouse,20,rock,rock
2010,Hard,Rihanna Featuring Jeezy,20,pop,pop
2010,Heartbreak Warfare,John Mayer,20,singer-songwriter,folk / acoustic
2010,Hello Good Morning,Diddy - Dirty Money Featuring T.I.,20,hip-hop,hip hop / rap
2010,Highway 20 Ride,Zac Brown Band,20,country,country
